,ALL_Uniq,Name_USGSO,density_pop,evi,wind_power,wind_std,offshore_wind,geothermal_potential,hydro,temp,solar_pow,solar_seas_ind,res_area,consumption_label,gdp_cons_pop_urban_merged,cluster_label_mk_5,cluster_label_mk_6,cluster_label_mk_7,cluster_label_mk_8,cluster_label_mk_9,cluster_label_mk_10,cluster_label_mk_11,cluster_label_mk_12,cluster_label_mk_13,cluster_label_mk_14,cluster_label_mk_15,cluster_label_mk_16,cluster_label_mk_17,cluster_label_mk_18,cluster_label_mk_19,cluster_label_mk_20,cluster_label_mk_21,cluster_label_mk_22,cluster_label_mk_23,cluster_label_mk_24,cluster_label_mk_25,cluster_label_mk_26,cluster_label_mk_27,cluster_label_mk_28,cluster_label_mk_29,cluster_label_mk_30
58,88469,Marajo,-0.0549525243964587,0.6064150930219371,-0.9446089561645784,0.2929600101437702,0.0,0.0,3.772173410628029,0.0848153744729584,0.7992160868537264,-0.1838291694535089,-0.3296414533828798,XS,-0.1885825355591432,2,1,2,2,7,0,5,8,9,12,9,13,13,7,18,1,6,15,11,22,3,3,6,1,25,26
59,88470,Marajo,-0.1160978930309746,0.8287846530473811,-0.9446089561645784,0.2929600101437702,0.0,0.0,4.0277199915156086,0.0848153744729584,0.844906961781169,-0.1874897955214009,-0.1498740534067119,XS,-0.1584888634483167,2,1,2,2,7,4,5,8,9,12,9,13,13,7,18,1,6,9,11,22,3,3,6,24,25,26
60,88474,Marajo,-0.0422615865046838,0.5734699098385622,-1.104292558667746,0.3849422056272298,0.0,0.0,4.693202271538417,0.0848153744729584,0.7417849972074992,-0.1728621438353784,-0.1456284560828014,XS,-0.1806576275414721,2,1,2,2,7,4,5,8,9,12,9,13,0,14,17,18,6,9,11,16,3,3,6,24,25,20
61,88476,Marajo,-0.1646867783995468,0.8744237855720961,-1.1883771204756477,0.446700468755682,0.0,0.0,4.673992850865759,0.0848153744729584,0.6896541690974477,-0.1687435939767254,-0.8587349750164067,XS,-0.0076061153326565,2,1,2,2,7,4,5,8,9,12,9,13,13,7,18,18,6,9,11,22,3,3,6,24,25,20
62,88480,Marajo,-0.1257662872969038,0.807430477569144,-0.9667382346344108,0.3033394099337961,0.0,0.0,3.3757833021566,0.0848153744729584,0.6607182985289414,-0.1591182156329392,-0.1028146924675807,XS,-0.1656486065647882,2,1,2,2,7,0,5,8,9,12,9,13,13,7,18,1,6,15,11,22,3,3,6,1,25,26
63,88485,Marajo,-0.7573185842127386,1.1349235660576291,-1.321373992065564,0.2478720748187728,0.0,0.0,4.676801946571919,0.0762662619405783,0.403395395411515,-0.2169865966211595,0.6967950964331578,XS,-0.1302745796927361,2,1,2,2,7,4,5,2,11,12,0,13,0,14,17,18,11,9,11,16,3,3,26,24,8,20
64,88487,Marajo,-0.3785545610441993,0.9646322657505432,-1.145903510437686,0.4474767122853719,0.0,0.0,0.0,0.0848153744729584,0.5847322676203868,-0.1437987292918547,-0.2460124847227408,XS,-0.1947847651213229,0,4,3,7,8,7,10,11,0,9,2,1,1,3,1,19,20,3,17,12,0,14,17,23,20,22
65,88490,Marajo,0.1089273482190401,0.9154390159612018,-1.242518744032592,0.2598835787367335,0.0,0.0,5.809503798394189,0.0917974237430418,0.475239155910842,-0.1688486467182343,0.2934234792740121,XS,-0.0717880493199561,2,1,2,2,7,4,5,2,11,12,0,13,0,14,17,18,11,9,11,16,3,1,26,24,8,20
66,88502,Marajo,0.6285432786375433,1.017226732047884,-1.3231857501988034,0.6386047304447061,0.0,0.0,0.0,0.0847862790797447,0.3341626047919752,-0.1773328541099298,-0.4271003448579564,XS,-0.0864360820976866,0,4,3,7,8,7,10,11,0,9,2,1,1,3,5,19,20,3,17,17,16,14,18,23,20,22
67,88504,Marajo,-0.3178273410157557,0.7135314760334611,-0.9800450418698972,0.3761463858000076,0.0,0.0,0.0,0.0765930639107941,0.5087667321300083,-0.1998468191826929,-0.3596409832206892,XS,-0.1868786291835244,0,4,3,7,8,7,10,11,0,9,2,1,1,3,1,19,20,3,17,12,0,14,17,23,20,22
