ALL_Uniq,Name_USGSO,density_pop,evi,wind_power,wind_std,offshore_wind,geothermal_potential,hydro,temp,solar_pow,solar_seas_ind,res_area,consumption_label,gdp_cons_pop_urban_merged
88467,Marajo,-0.5885173541097866,1.1603048842412833,-1.3136542023729871,0.22359511157451734,0.0,0.0,3.7058780309316575,0.07626626194057835,0.3966223916835449,-0.22511887538541714,-0.8395266092636599,XS,-0.19452643876965167
88469,Marajo,-0.05495252439645872,0.6064150930219371,-0.9446089561645783,0.2929600101437702,0.0,0.0,3.772173410628029,0.08481537447295848,0.7992160868537264,-0.18382916945350894,-0.3296414533828798,XS,-0.18858253555914328
88470,Marajo,-0.11609789303097462,0.8287846530473811,-0.9446089561645783,0.2929600101437702,0.0,0.0,4.0277199915156086,0.08481537447295848,0.844906961781169,-0.18748979552140096,-0.14987405340671198,XS,-0.1584888634483167
88474,Marajo,-0.04226158650468383,0.5734699098385622,-1.104292558667746,0.3849422056272298,0.0,0.0,4.693202271538417,0.08481537447295848,0.7417849972074992,-0.1728621438353784,-0.14562845608280148,XS,-0.18065762754147213
88476,Marajo,-0.1646867783995468,0.8744237855720961,-1.1883771204756477,0.446700468755682,0.0,0.0,4.673992850865759,0.08481537447295848,0.6896541690974477,-0.16874359397672548,-0.8587349750164067,XS,-0.007606115332656582
88480,Marajo,-0.12576628729690384,0.807430477569144,-0.9667382346344109,0.3033394099337961,0.0,0.0,3.3757833021566,0.08481537447295848,0.6607182985289414,-0.1591182156329392,-0.10281469246758072,XS,-0.16564860656478825
88485,Marajo,-0.7573185842127386,1.1349235660576291,-1.321373992065564,0.24787207481877288,0.0,0.0,4.676801946571919,0.07626626194057835,0.40339539541151503,-0.2169865966211595,0.6967950964331578,XS,-0.1302745796927361
88487,Marajo,-0.3785545610441993,0.9646322657505431,-1.145903510437686,0.44747671228537195,0.0,0.0,0.0,0.08481537447295848,0.5847322676203868,-0.14379872929185472,-0.24601248472274082,XS,-0.19478476512132292
88490,Marajo,0.10892734821904017,0.9154390159612018,-1.242518744032592,0.2598835787367335,0.0,0.0,5.809503798394189,0.09179742374304185,0.475239155910842,-0.16884864671823435,0.29342347927401213,XS,-0.0717880493199561
88502,Marajo,0.6285432786375433,1.017226732047884,-1.3231857501988034,0.6386047304447061,0.0,0.0,0.0,0.08478627907974476,0.3341626047919752,-0.17733285410992985,-0.42710034485795645,XS,-0.08643608209768665
88504,Marajo,-0.3178273410157557,0.7135314760334611,-0.9800450418698973,0.3761463858000076,0.0,0.0,0.0,0.07659306391079418,0.5087667321300083,-0.19984681918269293,-0.3596409832206892,XS,-0.1868786291835244
88505,Marajo,-0.371680408038102,0.9195136881682929,-1.3040801689376043,0.09224514951772926,0.0,0.0,0.0,0.07987406845863354,0.2958669159299906,-0.2134562427021311,-0.6842979482359023,XS,-0.1376942721630514
88506,Marajo,-0.4728199681812489,0.5051548917449749,-0.6861967942295686,0.10495514841347847,0.0,0.0,0.0,0.09281830908444984,0.8091344052925026,-0.17742004852957374,-0.1755255835220112,S,-0.11422875408229752
88509,Amazon Delta,-0.29145425515205886,0.8313734247153891,-1.2027524356767945,-0.006089852797192433,0.0,0.0,4.011648186828302,0.09512584049723219,0.40603344852246337,-0.1711103491571859,-0.6772718395168018,XS,-0.14035727014770544
88515,Marajo,-0.5109044518593898,0.7358875716292992,-1.1169140338171453,0.5315467652179447,0.0,0.0,4.523266475028837,0.07476806305630734,0.39492273593337235,-0.20913734087460967,-1.0670050247265703,S,-0.08120547252770043
88521,Marajo,-0.7664562892281263,0.9885517286140445,-1.1817978458761194,0.28131438979756285,0.0,0.0,4.771664988491295,0.07959835913647127,0.3123913468344461,-0.12723702376303347,-0.34664921759237394,XS,-0.15451339529373972
88529,Marajo,-0.5512984676966257,0.6732263335757133,-1.1924486723001066,0.2396905192142258,0.0,0.0,5.419720028020661,0.07959835913647127,0.3264848747473757,-0.108689226449175,0.20519024821909262,XS,-0.18509708146987705
88533,Marajo,-0.9284010992864243,0.5835902060432415,-1.216035855633077,0.2668727170426561,0.0,0.0,4.094180986636892,0.07890961151902973,0.39829057232723275,-0.10613669105691559,-0.060541027192441324,XS,-0.1663516274920129
88534,Amazon Delta,-0.984091488697807,0.3863468307404576,-1.2383517506657622,0.007106632508892502,0.0,0.0,4.502049375544955,0.08682250574704474,0.3030805711487462,-0.11267952332685237,-0.06324845761374834,XS,-0.1787682094506293
88546,Marajo,1.598508444829886,1.0681426465814594,-1.2459081204720095,0.30163719448986154,0.0,0.0,5.541574129903582,0.05757425195954347,0.1143712042302543,-0.10162557145638453,-0.5213257397098181,S,0.9634317824026722
88550,Amazon Delta,-1.2021878217000028,0.646324630625069,-1.2056398994362745,0.07026157604273466,0.0,0.0,4.6787955234930445,0.0814240613002357,0.30740217646701445,-0.06417233561408811,0.09946862634452945,S,-0.11087213596403508
88551,Marajo,-1.0270090129236897,0.488890694467879,-1.2086213185883143,0.15698185799056488,0.0,0.0,5.408503833006372,0.07956538109301546,0.21573568669532608,-0.07719453997190595,0.11305527954372939,S,0.05240443946563519
88553,Marajo,-1.0446298801292175,0.8439987088713553,-1.1743044064420705,0.1541039599444999,0.0,0.0,5.624982738289325,0.07769946413474739,0.13880101071690776,-0.049232147491234945,0.38590381578580113,S,-0.023104165303975632
88554,Marajo,-1.3611899131043157,0.9520649390857029,-1.2012828555882924,0.1712454172910612,0.0,0.0,5.547703178188212,0.07551668116929419,0.16839859050081285,-0.07251320183849339,-0.6647065790060405,S,0.09826316500893958
